examMgmtNo,emOpenSeq,금융기관명,제재조치일,관련부서,기관제재내용,임원제재내용,직원제재내용,첨부파일명,첨부파일URL
202200174,1,주식회사 다온핀테크,20231011,디지털금융혁신국,임원 제재대상,직원 제재대상,첨부파일,202200174_01_제재내용 공시_다온핀테크.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202200174_01_%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9+%EA%B3%B5%EC%8B%9C_%EB%8B%A4%EC%98%A8%ED%95%80%ED%85%8C%ED%81%AC.pdf
202200173,1,주식회사 미라클핀테크,20231011,디지털금융혁신국,임원 제재대상,직원 제재대상,첨부파일,202200173_01_제재내용 공시_미라클핀테크.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202200173_01_%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9+%EA%B3%B5%EC%8B%9C_%EB%AF%B8%EB%9D%BC%ED%81%B4%ED%95%80%ED%85%8C%ED%81%AC.pdf
202200172,1,주식회사 오아시스펀드,20231011,디지털금융혁신국,임원 제재대상,직원 제재대상,첨부파일,202200172_01_제재내용 공시_오아시스펀드.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202200172_01_%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9+%EA%B3%B5%EC%8B%9C_%EC%98%A4%EC%95%84%EC%8B%9C%EC%8A%A4%ED%8E%80%EB%93%9C.pdf
202200160,1,주식회사 투게더앱스,20231011,디지털금융혁신국,임원 제재대상,직원 제재대상,첨부파일,202200160_01_제재내용 공개_투게더앱스.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202200160_01_%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9+%EA%B3%B5%EA%B0%9C_%ED%88%AC%EA%B2%8C%EB%8D%94%EC%95%B1%EC%8A%A4.pdf
202200402,1,주식회사 위펀딩,20230308,디지털금융혁신국,임원 제재대상,직원 제재대상,첨부파일,202200402_01_230317_위펀딩_제재내용_공개안.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202200402_01_230317_%EC%9C%84%ED%8E%80%EB%94%A9_%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9_%EA%B3%B5%EA%B0%9C%EC%95%88.pdf
202100643,1,유진투자증권주식회사,20221130,IT검사국,문책(과태료부과) 1건,주의 1명,"견책 2명, 퇴직자 위법·부당사항(견책 상당) 1명",202100643_01_유진투자증권 부문검사 제재내용 공개안.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202100643_01_%EC%9C%A0%EC%A7%84%ED%88%AC%EC%9E%90%EC%A6%9D%EA%B6%8C+%EB%B6%80%EB%AC%B8%EA%B2%80%EC%82%AC+%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9+%EA%B3%B5%EA%B0%9C%EC%95%88.pdf
202100533,1,키움예스저축은행,20220628,IT검사국,"문책(과태료부과) 1건, 기관주의 1건",주의 1명,견책 1명,202100533_01_㈜키움예스저축은행_제재내용_공개안.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202100533_01_%E3%88%9C%ED%82%A4%EC%9B%80%EC%98%88%EC%8A%A4%EC%A0%80%EC%B6%95%EC%9D%80%ED%96%89_%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9_%EA%B3%B5%EA%B0%9C%EC%95%88.pdf
202100329,1,엔에이치엔페이코㈜,20220307,IT검사국,"과태료 부과(2,720만원)",주의 1명,"주의 1명, 퇴직자 위법·부당사항(주의 상당) 1명",202100329_01_202100329_01_엔에이치엔페이코㈜_제재내용_공개안.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202100329_01_202100329_01_%EC%97%94%EC%97%90%EC%9D%B4%EC%B9%98%EC%97%94%ED%8E%98%EC%9D%B4%EC%BD%94%E3%88%9C_%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9_%EA%B3%B5%EA%B0%9C%EC%95%88.pdf
202100355,1,한국자산관리공사,20220128,디지털금융검사국,문책(과태료부과) 1건,"주의 2명, 퇴직자 위법·부당사항(주의 상당) 2명, 퇴직자위법사실 통지 1명",첨부파일,202100355_01_한국자산관리공사 제재공시안.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202100355_01_%ED%95%9C%EA%B5%AD%EC%9E%90%EC%82%B0%EA%B4%80%EB%A6%AC%EA%B3%B5%EC%82%AC+%EC%A0%9C%EC%9E%AC%EA%B3%B5%EC%8B%9C%EC%95%88.pdf
202100225,1,코리아크레딧뷰로 주식회사,20211209,디지털금융검사국,"과태료 2,000만원 부과",주의 1명,첨부파일,202100225_01_제재내용공개_코리아크레딧뷰로(주).pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202100225_01_%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9%EA%B3%B5%EA%B0%9C_%EC%BD%94%EB%A6%AC%EC%95%84%ED%81%AC%EB%A0%88%EB%94%A7%EB%B7%B0%EB%A1%9C%28%EC%A3%BC%29.pdf
202100134,1,네이버파이낸셜 주식회사,20211103,디지털금융검사국,"과태료 부과(2,360만원)",주의 3명,첨부파일,202100134_01_네이버파이낸셜㈜_제재내용_공개안.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202100134_01_%EB%84%A4%EC%9D%B4%EB%B2%84%ED%8C%8C%EC%9D%B4%EB%82%B8%EC%85%9C%E3%88%9C_%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9_%EA%B3%B5%EA%B0%9C%EC%95%88.pdf
202000603,1,미래신용정보 주식회사,20210614,디지털금융검사국,"과태료 10,960만원 부과",견책 1명,"감봉 3월 1명, 주의 1명, 위임직채권추심인 과태료 90만원 부과 2명",202000603_01_제재내용 공개_미래신용정보2.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202000603_01_%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9+%EA%B3%B5%EA%B0%9C_%EB%AF%B8%EB%9E%98%EC%8B%A0%EC%9A%A9%EC%A0%95%EB%B3%B42.pdf
202000446,1,㈜카카오페이,20210503,디지털금융검사국,"과태료 부과(6,960만원)",주의 2명,주의 1명,202000446_01_(주)카카오페이_제재내용_공개안.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202000446_01_%28%EC%A3%BC%29%EC%B9%B4%EC%B9%B4%EC%98%A4%ED%8E%98%EC%9D%B4_%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9_%EA%B3%B5%EA%B0%9C%EC%95%88.pdf
201900064,1,한국금융투자협회,20210330,디지털금융검사국,과태료 30백만원,퇴직자 위법·부당사항(주의 상당) 1명,자율처리필요사항 통보,201900064_01_한국금융투자협회_부문검사_제재내용 공개안_F.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=201900064_01_%ED%95%9C%EA%B5%AD%EA%B8%88%EC%9C%B5%ED%88%AC%EC%9E%90%ED%98%91%ED%9A%8C_%EB%B6%80%EB%AC%B8%EA%B2%80%EC%82%AC_%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9+%EA%B3%B5%EA%B0%9C%EC%95%88_F.pdf
202000334,1,㈜비바리퍼블리카,20210329,디지털금융검사국,"과태료 부과(3,720만원)","주의 2명, 퇴직자 위법ㆍ부당사항(주의 상당) 1명",퇴직자 위법ㆍ부당사항(주의 상당) 1명,202000334_01_(주)비바리퍼블리카 제재내용 공개안.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202000334_01_%28%EC%A3%BC%29%EB%B9%84%EB%B0%94%EB%A6%AC%ED%8D%BC%EB%B8%94%EB%A6%AC%EC%B9%B4+%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9+%EA%B3%B5%EA%B0%9C%EC%95%88.pdf
202000031,1,신한은행,20210329,디지털금융검사국,기관주의,주의 1명,자율처리 필요사항,202000031_01_210329_신한은행에 대한 부문검사 결과 제재공시.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202000031_01_210329_%EC%8B%A0%ED%95%9C%EC%9D%80%ED%96%89%EC%97%90+%EB%8C%80%ED%95%9C+%EB%B6%80%EB%AC%B8%EA%B2%80%EC%82%AC+%EA%B2%B0%EA%B3%BC+%EC%A0%9C%EC%9E%AC%EA%B3%B5%EC%8B%9C.pdf
202000362,1,한국투자증권,20210329,디지털금융검사국,과태료 48백만원,직원 제재대상,첨부파일,202000362_01_한국투자증권_부문검사_제재내용 공개안_F.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202000362_01_%ED%95%9C%EA%B5%AD%ED%88%AC%EC%9E%90%EC%A6%9D%EA%B6%8C_%EB%B6%80%EB%AC%B8%EA%B2%80%EC%82%AC_%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9+%EA%B3%B5%EA%B0%9C%EC%95%88_F.pdf
202000395,1,고려신용정보 주식회사,20210312,디지털금융검사국,"과태료 3,840만원 부과",직원 제재대상,"주의 1명, 위임직채권추심인 과태료 120만원 부과 1명, 90만원 부과 3명",202000395_01_202000395_01_제재내용 공개_고려신용정보.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202000395_01_202000395_01_%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9+%EA%B3%B5%EA%B0%9C_%EA%B3%A0%EB%A0%A4%EC%8B%A0%EC%9A%A9%EC%A0%95%EB%B3%B4.pdf
